text,label
Félicitations ! Vous avez gagné un iPhone. Cliquez ici pour réclamer.,spam
"Bonjour, tu viens manger à la maison ce soir ?",ham
URGENT : Votre compte bancaire nécessite une mise à jour immédiate.,spam
N'oublie pas d'acheter du pain en rentrant.,ham
Gagnez 1000€ par jour en travaillant de chez vous ! Inscrivez-vous vite.,spam
Le cours de Machine Learning commence à 8h demain.,ham
Maika: Nahazo loka ianao. Tsindrio eto handraisana azy.,spam
"Mbola tsara, manao ahoana ny fahasalamana?",ham
Azonao ny loka 1 tapitrisa Ariary! Alefaso ny vola handraisana azy.,spam
Ho tonga ve ianao amin'ny fivoriana rahampitso?,ham
Votre colis est bloqué en douane. Payez les frais ici : http://bit.ly/fake,spam
"Salut, tu as fini le rapport pour l'ISPM ?",ham
Alerte Sécurité : Connexion suspecte sur votre compte Netflix.,spam
Je t'attends à l'arrêt de bus dans 5 minutes.,ham
Offre exclusive : -80% sur toutes les montres de luxe aujourd'hui seulement !,spam
Est-ce que tu peux m'envoyer le lien du cours de NLP ?,ham
Gagnez un voyage aux Seychelles en répondant à ce sondage.,spam
On se voit au foot cet après-midi ?,ham
Votre code de validation est 4452. Ne le partagez jamais.,ham
Prêt instantané sans justificatif. Réponse en 2 minutes.,spam
Tu as vu le dernier commit sur GitHub ?,ham
IMPORTANT: Votre abonnement arrive à expiration. Renouvelez maintenant.,spam
Bon anniversaire ! Passe une excellente journée.,ham
Vivez la vie de vos rêves grâce au trading de crypto-monnaies.,spam
"Désolé, je vais être en retard de 10 minutes.",ham
"Félicitations, votre profil a été sélectionné pour un emploi à 5000€/mois.",spam
N'oubliez pas la réunion de groupe à 14h.,ham
"Votre mot de passe a été modifié. Si ce n'est pas vous, cliquez ici.",spam
Tu veux aller au cinéma ce week-end ?,ham
Incroyable ! Perdez 10kg en une semaine avec cette méthode miracle.,spam
Misy loka azonao ao amin'ny Telma. Antsoy ny 034...,spam
Inona no vaovao any aminareo any?,ham
Maika be! Mila fanampiana ara-bola aho namana.,spam
Afaka mifanena ve isika amin'ny alahady ho avy izao?,ham
Nahazo crédit maimaimpoana ianao. Jereo eto.,spam
Efa vonona ny sakafo fa tongava mihinana.,ham
Filazana manokana: loka lehibe ho anao irery.,spam
Misaotra tamin'ilay fanampiana omaly.,ham
Hafa mihitsy ity fomba fanaovana vola ity. Andramo!,spam
Hanao ahoana ny fivoaran'ny tetikasa any an-tsekoly?,ham
Votre carte bancaire est suspendue. Vérifiez vos informations.,spam
On va manger au resto ce midi ?,ham
GAGNEZ une voiture neuve en envoyant AUTO au 81010.,spam
Tu as les notes de l'examen de l'année dernière ?,ham
"Promotion : Achetez 1, recevez 2 gratuits !",spam
Rendez-vous chez le dentiste demain à 9h.,ham
URGENT: Votre compte PayPal est restreint.,spam
Merci pour ton aide sur le TP de ML.,ham
Devenez riche rapidement avec notre système automatisé.,spam
Tu as oublié ton parapluie chez moi.,ham
Votre numéro a été tiré au sort pour un cadeau exceptionnel.,spam
On se retrouve à la bibliothèque ?,ham
Attention : votre espace de stockage est plein. Achetez plus d'espace.,spam
"J'ai bien reçu ton message, je t'appelle plus tard.",ham
Remportez 5000€ en cash immédiatement !,spam
N'oublie pas de valider ton inscription à l'ISPM.,ham
Dernière chance pour profiter de nos soldes d'été.,spam
C'est quoi le code Wi-Fi déjà ?,ham
Bravo ! Vous avez été sélectionné pour un test de produit gratuit.,spam
On fait une pause café ?,ham
Alerte : Activité inhabituelle détectée sur votre carte.,spam
"Je suis en cours, je te rappelle après.",ham
Investissez 10€ et gagnez 1000€ en 24 heures.,spam
Est-ce que tu as compris la tokenisation ?,ham
Votre colis Amazon est en route. Suivez-le ici.,ham
Découvrez qui vous regarde en secret sur Facebook !,spam
Tu peux me prêter ton chargeur ?,ham
Offre d'emploi : Travaillez depuis votre canapé.,spam
On se voit à la soutenance de projet ?,ham
"Félicitations, vous êtes notre 1 000 000ème visiteur !",spam
Pense à éteindre la lumière en partant.,ham
Vérification de sécurité requise pour votre compte Apple.,spam
"Le déjeuner est prêt, dépêche-toi.",ham
Utilisez ce code promo pour 50% de réduction.,spam
Comment s'est passée ta journée ?,ham
Aidez cette fondation et gagnez une récompense.,spam
N'oublie pas de faire le plein d'essence.,ham
Votre accès bancaire va être coupé. Agissez vite.,spam
On se fait une partie de jeux vidéo ce soir ?,ham
Voyage gratuit pour deux personnes à gagner.,spam
Tu as envoyé le livrable au prof ?,ham
Solde exceptionnel sur tous les smartphones.,spam
"Je suis arrivé, je t'attends devant.",ham
Gagnez un salaire à vie avec notre loterie.,spam
Est-ce que le prof a fait l'appel ?,ham
Votre compte a été débité de 499€. Cliquez pour annuler.,spam
Bon courage pour le hackathon !,ham
Profitez de nos tarifs réduits sur les assurances.,spam
"Il pleut, n'oublie pas ton manteau.",ham
Remportez un chèque cadeau de 100€ chez Amazon.,spam
On peut décaler notre rendez-vous à 15h ?,ham
Votre livraison est prévue pour aujourd'hui.,ham
Devenez influenceur et recevez des produits gratuits.,spam
C'est quand la date limite pour le projet ?,ham
Alerte virus : Votre téléphone est infecté. Nettoyez-le.,spam
Je t'ai laissé une part de gâteau dans le frigo.,ham
Réclamez votre bonus de bienvenue sur notre casino en ligne.,spam
Tu as vu le match hier soir ?,ham
Invitation exclusive pour la soirée VIP.,spam
Pense à prendre tes clés.,ham
